imei1,activation_time
353319580068747,
353319580068929,2022-08-10 15:03:15.0720
353319580069463,2022-08-20 10:27:12.9670
353319580070206,2023-01-18 11:56:03.4880
353319580070529,2022-08-31 11:42:15.9280
353319580070560,2023-01-10 15:13:05.0300
353319580071329,
353319580071345,
353319580071444,2022-11-18 15:30:35.6540
353319580071949,
353319580072103,
353319580072244,2023-01-23 17:55:34.5270
353319580072269,2022-08-24 12:01:36.4430
353319580072541,2023-01-27 09:28:03.6380
353319580072988,2022-09-28 11:33:15.6450
353319580073382,2023-02-01 17:14:12.5570
353319580074026,2022-12-09 16:38:27.6880
353319580074323,2022-08-17 12:03:32.6840
353319580074646,2023-01-25 18:04:02.8370
353319580074687,2022-08-16 13:34:25.5690
353319580074760,2022-09-28 12:42:11.8590
353319580074828,2022-11-30 15:49:53.7620
353319580074885,
353319580074901,
353319580074927,
353319580075049,2023-01-12 19:20:06.9620
353319580075221,
353319580075247,2022-09-02 14:03:46.7130
353319580075304,2022-12-28 13:49:01.6080
353319580075387,
353319580075403,2022-09-21 16:31:04.2830
353319580075429,2023-01-18 14:35:29.6240
353319580075460,2022-08-20 12:06:37.3200
353319580075585,2022-08-13 13:27:42.5440
353319580075643,2022-08-12 15:24:03.0560
353319580075700,2022-10-25 14:56:07.3280
353319580075742,
353319580075767,2022-10-02 16:49:34.6000
353319580075783,2022-11-15 17:56:16.0240
353319580075866,2022-10-11 12:07:09.8550
353319580075924,
353319580075981,2023-01-20 12:18:29.0680
353319580076187,2022-09-13 18:08:51.9660
353319580076203,2023-01-27 15:40:39.7410
353319580076328,2022-12-28 14:07:24.1130
353319580076344,2022-10-21 17:37:20.8510
353319580076526,2022-08-22 17:30:56.9990
353319580076641,
353319580076666,2022-09-01 15:26:57.6550
353319580076682,2022-11-26 23:57:59.0370
353319580076724,2022-10-24 16:40:43.2000
353319580076740,
353319580076849,
353319580077029,2022-09-19 11:10:13.6510
353319580077128,2022-08-31 15:16:38.2330
353319580077227,2022-12-29 14:57:20.6840
353319580077243,2022-09-28 10:48:15.0890
353319580077300,2022-08-24 07:26:15.7870
353319580077383,2022-11-16 20:32:56.5690
353319580077441,
353319580077482,
353319580077581,2022-09-30 14:07:21.2430
353319580077649,
353319580077763,2022-08-20 09:55:03.8250
353319580077821,2022-08-10 14:50:48.9520
353319580077862,2022-12-08 16:18:05.9520
353319580077946,
353319580078001,2022-12-28 13:40:46.3320
353319580078142,
353319580078381,
353319580078548,2022-12-14 15:51:25.4400
353319580078746,
353319580079207,2022-08-24 14:54:47.9780
353319580079249,
353319580079520,
353319580079546,2022-12-24 20:17:17.7100
353319580079744,2022-09-02 12:32:54.1630
353319580080049,2022-10-25 15:17:52.9910
353319580080346,
353319580080627,2022-09-20 15:44:32.2590
353319580080940,2022-11-11 16:34:53.1530
353319580081021,
353319580081229,
353319580081344,2023-01-31 12:02:35.0820
353319580081708,
353319580082003,2022-12-24 18:48:25.2950
353319580082045,
353319580082268,2022-09-26 18:23:30.2150
353319580082284,2022-12-17 19:07:18.2190
353319580082383,2022-12-27 10:54:07.0790
353319580082482,
353319580082789,2022-09-22 15:20:05.8850
353319580082862,
353319580083043,
353319580083167,2022-09-19 19:16:42.8660
353319580083183,2022-09-04 08:19:24.6340
353319580083423,2022-08-16 21:22:19.0620
353319580083480,2022-08-20 13:25:55.3730
353319580083548,2022-11-18 20:56:11.1650
353319580083647,2022-08-26 17:14:06.7400
353319580083688,2023-01-18 16:52:30.4220
353319580083803,2023-01-30 14:21:14.1380
353319580084066,2022-12-24 18:19:25.1540
353319580084082,
353319580084124,2022-08-31 12:35:53.8920
353319580084140,2023-02-14 09:10:30.2220
353319580084264,2022-12-16 12:42:49.7270
353319580084322,2022-08-31 12:11:49.2730
353319580084421,2022-09-05 09:59:54.1420
353319580084520,
353319580084603,2022-09-19 15:52:58.5500
353319580084769,2023-01-18 16:36:28.7320
353319580084884,2022-10-22 15:07:06.7870
353319580084983,
353319580085105,2022-08-18 13:40:25.4850
353319580085188,2022-12-20 14:18:54.8800
353319580085220,2023-01-19 13:56:39.2030
353319580085329,
353319580085345,
353319580085360,2022-12-19 10:55:28.7850
353319580085469,2022-09-14 13:19:23.5780
353319580085501,
353319580085527,2022-09-10 12:24:57.9610
353319580085667,2023-01-28 15:42:32.6550
353319580085808,2022-08-30 08:13:50.8480
353319580085980,2022-10-21 15:16:42.0760
353319580086061,2022-12-24 18:06:20.3410
353319580086103,2022-09-07 11:22:24.2590
353319580090949,2022-07-21 13:55:09.7870
353319580093349,2022-07-20 22:16:26.8930
353319580093620,2022-07-21 08:18:04.9270
353319580094180,2022-07-20 17:02:57.2170
353319580094529,2022-07-22 10:09:08.3070
353319580095765,2022-07-21 20:38:42.7830
353319580095849,2022-07-21 17:55:06.9290
353319580095963,2022-07-21 08:34:57.7390
353319580096201,
353319580096243,2022-07-21 00:22:21.6870
353319580096425,2022-07-20 18:36:15.6880
353319580096508,
353319580096946,2022-07-23 20:36:34.3280
353319580096987,2022-07-20 16:57:59.4460
353319580104088,2022-08-15 13:09:05.2700
353319580104468,2022-12-15 15:12:26.4540
353319580104526,2022-08-30 15:37:09.8430
353319580104880,
353319580105044,
353319580105705,
353319580106083,
353319580106521,2022-08-31 12:01:25.2800
353319580106588,2023-01-04 12:42:21.0040
353319580106844,2022-08-30 11:56:04.8640
353319580107180,
353319580107321,
353319580108626,2022-11-08 15:10:12.6410
353319580108923,
353319580109863,2023-02-06 11:31:17.2030
353319580110309,
353319580110507,2022-08-25 13:45:27.6190
353319580110564,
353319580110846,2022-12-30 11:02:35.5110
353319580110960,2022-07-23 20:28:06.7700
353319580111000,2022-08-16 17:08:14.9690
353319580111042,2022-07-22 14:40:11.2530
353319580111182,2022-08-30 17:40:43.1420
353319580111281,2022-07-25 17:48:12.7490
353319580111489,
353319580111505,2023-01-23 16:57:52.2340
353319580111687,2022-07-23 23:13:12.4900
353319580111729,
353319580111927,2022-07-20 16:50:42.2270
353319580112248,
353319580112263,2022-08-31 11:08:52.0880
353319580112362,2023-01-24 15:30:03.8930
353319580112461,
353319580112529,2022-07-22 10:44:09.0070
353319580112842,
353319580112883,
353319580113501,
353319580113725,2023-01-23 17:47:29.6800
353319580113824,2022-11-27 13:42:13.9010
353319580113949,2022-10-17 09:05:56.5560
353319580114343,2023-01-04 09:52:00.1220
353319580114608,2022-08-09 12:12:45.8020
353319580114665,
353319580114723,2022-09-13 13:00:58.3900
353319580114988,2022-07-30 08:01:06.9830
353319580115043,
353319580115100,
353319580115183,2022-09-08 11:32:36.5320
353319580115266,
353319580115324,
353319580115423,
353319580115605,2023-01-28 10:18:38.7970
353319580115688,
353319580115746,
353319580115886,
353319580115928,
353319580116124,
353319580116348,
353319580116504,
353319580116546,2023-02-01 10:03:37.3770
353319580116561,
353319580116587,2022-08-01 13:35:12.9410
353319580116728,2023-01-02 09:38:18.3370
353319580117106,2022-08-30 19:30:07.0190
353319580117122,2022-10-07 18:14:37.5950
353319580117189,
353319580117445,
353319580117528,
353319580117544,
353319580117601,2022-08-16 11:10:50.6100
353319580117643,
353319580117668,
353319580117684,2022-07-21 08:11:02.9260
353319580118583,
353319580118682,2022-11-12 20:16:39.9320
353319580118708,
353319580119185,2023-01-27 13:58:16.8220
353319580119805,
353319580121546,
353319580121660,
353319580123120,2022-09-05 16:57:13.6690
353319580123161,2022-08-23 14:07:26.2300
353319580123203,
353319580124060,2022-09-27 16:52:26.6030
353319580124169,2022-08-02 14:31:31.0210
353319580124482,
353319580124680,2022-08-17 10:50:18.6560
353319580124722,
353319580127063,
353319580127501,2022-12-27 12:11:34.6440
353319580128087,2022-11-29 21:06:43.0650
353319580128285,2022-08-03 14:23:40.4240
353319580128582,2023-01-02 19:08:40.4740
353319580128624,
353319580128863,2022-12-23 16:09:17.3610
353319580129440,2022-08-10 14:36:26.0110
353319580129564,2022-12-30 13:31:40.2920
353319580130745,2022-08-16 17:19:03.5620
353319580130828,2022-12-10 22:59:49.4060
353319580131263,2022-08-25 15:28:38.7800
353319580131305,2022-07-29 12:12:35.7050
353319580131529,
353319580131644,
353319580132006,2022-07-30 13:47:07.9050
353319580132345,
353319580132360,2022-08-15 16:54:54.2570
353319580132386,2022-07-22 11:54:40.0090
353319580133848,2022-07-27 20:45:21.8350
353319580134267,2022-12-30 11:53:33.0320
353319580135421,2022-09-15 09:24:00.8320
353319580135520,2022-07-22 07:48:47.1860
353319580135868,
353319580135983,2023-01-30 13:39:40.5020
353319580136023,2022-10-22 09:57:42.5740
353319580136429,
353319580136882,2023-02-01 16:28:07.1350
353319580137229,
353319580137286,
353319580137468,2022-11-11 12:36:35.4040
353319580137948,2022-09-08 13:47:27.5520
353319580138144,
353319580139225,2022-10-10 04:35:47.2730
353319580139647,2022-11-12 13:26:13.6720
353319580139969,2023-01-28 14:59:59.7470
353319580140421,2022-11-03 05:20:51.3490
353319580141007,2023-01-21 12:23:31.1510
353319580141080,2022-12-15 02:05:31.8820
353319580141163,
353319580141767,2022-10-25 14:35:52.8920
353319580141981,2023-01-24 17:50:34.0030
353319580142583,2022-07-22 16:04:37.5740
353319580143326,2022-07-23 13:16:39.4350
353319580144449,2022-08-20 16:41:45.6430
353319580146881,2022-07-23 10:04:48.5750
353319580146980,
353319580147707,
353319580147723,
353319580147988,
353319580148481,
353319580148804,
353319580148846,2022-10-25 16:05:15.4410
353319580149265,2022-07-26 20:21:59.3540
353319580149505,2022-08-07 06:39:26.7180
353319580150180,2022-10-14 15:47:15.8800
353319580150560,2022-07-27 09:23:56.9900
353319580150925,2022-10-13 18:09:02.1440
353319580151261,2022-10-06 17:18:13.7830
353319580152202,
353319580152269,
353319580152400,2022-10-10 15:38:34.8910
353319580152442,2022-08-03 07:00:56.5140
353319580152483,
353319580152608,2022-08-17 21:50:26.7720
353319580152665,2022-09-10 15:58:55.2850
353319580152681,2022-08-30 13:52:23.7350
353319580152822,2022-07-20 21:08:43.9790
353319580153283,
353319580153689,
353319580153903,2022-11-22 18:20:26.5240
353319580154109,2022-09-29 18:17:37.8100
353319580154224,
353319580154265,2022-08-23 20:52:01.4060
353319580154281,
353319580154620,2022-08-18 06:43:48.3660
353319580154729,
353319580155080,
353319580155304,
353319580155460,
353319580155544,2022-07-21 22:39:31.7410
353319580155569,
353319580155601,2022-08-08 17:54:05.0730
353319580155627,
353319580155809,2022-09-27 17:28:09.3140
353319580155940,
353319580156005,
353319580156500,2022-08-04 13:13:34.9420
353319580157169,2022-12-16 17:56:49.7180
353319580157227,
353319580157342,2022-09-14 16:45:20.3660
353319580157540,2023-02-01 13:34:42.5930
353319580157623,
353319580157680,2022-08-04 10:54:03.8640
353319580157862,2022-12-12 10:01:00.3380
353319580157987,2022-07-21 09:54:18.7080
353319580158142,2023-01-16 13:35:26.8010
353319580158225,2022-09-26 21:35:09.5840
353319580158324,2022-10-18 19:13:53.6060
353319580158522,2022-08-19 00:34:32.8750
353319580158548,2022-10-14 15:19:43.9120
353319580158563,2022-09-01 08:42:21.2450
353319580159041,2022-08-05 10:22:54.7680
353319580159066,2022-10-21 14:30:52.7250
353319580159249,2022-09-10 13:47:42.6060
353319580159280,2022-12-10 17:04:18.3370
353319580159603,2022-10-22 15:31:29.6810
353319580159744,2022-11-12 15:16:17.7440
353319580159785,
353319580160007,2022-12-12 18:24:57.4660
353319580160585,2022-08-05 11:33:28.9570
353319580160601,2022-10-08 13:19:42.6950
353319580161062,2022-09-27 18:13:25.0320
353319580161187,2022-07-21 02:21:22.4120
353319580161229,2022-08-30 20:22:15.8440
353319580161484,2022-09-11 09:06:31.2030
353319580161542,2022-08-06 11:30:06.6290
353319580161682,
353319580161922,2022-09-05 16:25:45.1820
353319580161989,
353319580162102,2022-08-09 11:38:04.8970
353319580162169,
353319580162565,2022-08-17 20:42:59.6720
353319580162607,
353319580162888,2022-09-07 21:08:18.6850
353319580163183,2022-08-23 11:38:24.1260
353319580163266,2022-08-29 15:28:01.4090
353319580163464,2022-07-22 08:04:08.9730
353319580163506,2022-09-15 11:56:21.7640
353319580163605,
353319580165162,
353319580165402,2022-08-11 20:25:10.4900
353319580165568,2022-07-27 12:44:50.6870
353319580165626,2022-10-21 11:37:15.3580
353319580165683,2022-10-08 14:25:02.9300
353319580166301,2022-07-21 05:35:50.4430
353319580166384,2022-10-19 10:37:55.7150
353319580166426,
353319580166665,2023-01-28 16:32:29.0720
353319580166723,2022-10-29 13:58:30.9020
353319580166764,
353319580166822,
353319580166905,
353319580167044,2022-09-14 15:17:11.1100
353319580167143,2022-08-22 08:20:52.4330
353319580167366,
353319580167424,
353319580167481,2022-08-10 08:52:22.3150
353319580167721,2022-08-09 16:15:12.2820
353319580167747,2022-08-09 10:14:10.7320
353319580167929,2022-08-11 06:13:13.3770
353319580168083,2022-12-19 18:53:00.4380
353319580168265,2022-12-21 17:16:26.9100
353319580168489,
353319580168562,2022-07-21 13:31:24.0220
353319580168687,2023-02-11 19:53:49.0640
353319580168729,2022-11-25 16:39:05.2840
353319580168786,2022-12-18 17:24:41.4170
353319580169180,
353319580169263,2022-12-25 11:09:31.5020
353319580169305,2022-12-06 12:40:14.8140
353319580169321,2022-11-22 20:21:30.8720
353319580169420,2022-08-07 09:13:24.6390
353319580169529,2022-12-10 12:33:43.8090
353319580169560,2022-09-01 17:41:18.2320
353319580169602,2022-09-06 16:23:09.9180
353319580169784,2022-08-05 09:46:47.1730
353319580169883,2022-07-20 21:36:00.7740
353319580169941,2022-08-16 14:49:56.0820
353319580169966,
353319580170261,2022-08-04 11:21:02.7850
353319580170568,
353319580170683,2022-08-03 14:35:50.3620
353319580170741,2022-08-20 14:15:34.4900
353319580170782,2022-08-09 14:58:09.8640
353319580170881,2022-10-22 07:06:54.3760
353319580171400,2022-09-27 13:58:09.8220
353319580172127,
353319580172283,2022-07-21 07:14:46.2750
353319580172523,
353319580172564,2022-08-09 17:16:20.1060
353319580172663,
353319580172747,2022-11-23 16:24:20.6940
353319580173000,2023-02-05 08:58:10.6310
353319580173240,2022-08-08 17:22:15.3460
353319580173521,2022-08-23 07:10:07.3790
353319580173646,
353319580173661,2022-09-27 16:08:31.9850
353319580173844,2022-08-27 18:38:04.2270
353319580173943,2022-08-22 16:55:07.3990
353319580174008,
353319580174065,2023-01-28 12:04:47.8960
353319580174081,
353319580174149,
353319580174289,
353319580174362,
353319580174446,2022-11-01 06:47:21.4230
353319580174586,2022-09-20 18:04:43.7730
353319580175062,
