imei1,activation_time
353319584471582,2022-12-13 15:41:27.6290
353319584899907,
353319585052720,2023-02-10 18:13:10.2520
353319585053041,
353319585053249,
353319585053728,2022-12-26 13:56:05.9350
353319585053983,2023-01-19 12:46:12.5770
353319585054007,
353319585054924,
353319585055285,
353319585055848,2022-12-24 22:32:43.8140
353319585056200,
353319585056325,2022-12-14 13:51:15.0930
353319585057588,2023-01-13 20:55:29.6360
353319585058081,2023-01-18 09:57:26.6810
353319585058248,
353319585058305,2022-12-16 17:57:01.8900
353319585058909,2023-01-04 16:12:18.3040
353319585059303,2023-01-27 12:27:39.9220
353319585059329,2023-01-31 13:05:18.1390
353319585063826,2023-02-02 14:29:59.1420
353319585064063,2022-12-16 14:21:26.5290
353319585064287,
353319585064329,2023-01-06 12:05:45.1970
353319585066647,2023-01-13 10:44:42.7630
353319585066803,
353319585067348,2023-02-08 17:17:40.6480
353319585067801,2022-12-20 09:27:10.4280
353319585067827,2023-01-08 16:10:40.1790
353319585068122,
353319585068528,
353319585068726,
353319585069245,2023-02-02 18:27:26.5160
353319585069286,
353319585069427,
353319585069484,
353319585069740,
353319585069765,2022-12-21 14:08:54.1080
353319585070128,2023-01-09 11:36:24.6230
353319585070185,
